epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2857.89,0.49062,0.56657,0.33307,0.88869,0.98191,0.97862,0.98787,0.90667,0.98412,0.97825,0.98726,0.77013,0.56918,0.6694,0.34406,0.82765,0.000610789,0.000610789,0.000610789
66,2890.16,0.48273,0.57096,0.3275,0.89101,0.98472,0.98533,0.98889,0.89543,0.98538,0.98418,0.98532,0.76229,0.53939,0.67225,0.34184,0.8319,0.000594286,0.000594286,0.000594286
67,2921.18,0.46281,0.55511,0.32629,0.88644,0.98206,0.98257,0.98962,0.90287,0.9806,0.98025,0.98731,0.76632,0.53237,0.67141,0.34509,0.82631,0.000577782,0.000577782,0.000577782
68,2967.4,0.47483,0.50771,0.32317,0.87934,0.98857,0.98168,0.99061,0.9033,0.98857,0.98168,0.98997,0.77396,0.55222,0.68026,0.33186,0.83785,0.000561279,0.000561279,0.000561279
69,3001.21,0.48165,0.56344,0.32214,0.882,0.98084,0.98684,0.99084,0.89824,0.97985,0.98272,0.98732,0.77161,0.5418,0.68956,0.32721,0.83334,0.000544776,0.000544776,0.000544776
70,3050.1,0.4594,0.54638,0.32141,0.8636,0.98144,0.98234,0.98971,0.92006,0.98586,0.98037,0.98931,0.78379,0.51555,0.67478,0.32114,0.82664,0.000528272,0.000528272,0.000528272
71,3089.27,0.44279,0.50228,0.30888,0.87645,0.98488,0.98191,0.991,0.90286,0.98531,0.98191,0.98784,0.7729,0.52328,0.68109,0.32187,0.82579,0.000511769,0.000511769,0.000511769
72,3139.26,0.46012,0.53279,0.31279,0.87765,0.98614,0.98116,0.99033,0.91015,0.98312,0.97729,0.98666,0.78187,0.53377,0.6699,0.32082,0.82708,0.000495266,0.000495266,0.000495266
73,3188.16,0.44966,0.53782,0.29855,0.87181,0.98722,0.97924,0.98976,0.90353,0.98722,0.97924,0.98866,0.77839,0.51734,0.69165,0.31448,0.82457,0.000478762,0.000478762,0.000478762
74,3229.95,0.44287,0.52822,0.30669,0.8692,0.97987,0.98688,0.98994,0.90281,0.98591,0.97862,0.98872,0.7774,0.51726,0.64445,0.32378,0.82494,0.000462259,0.000462259,0.000462259
75,3276.07,0.4336,0.49989,0.28805,0.87233,0.98676,0.9812,0.99015,0.90616,0.98549,0.97869,0.98695,0.77133,0.51938,0.66358,0.32145,0.82439,0.000445756,0.000445756,0.000445756
76,3310.71,0.43917,0.52597,0.30573,0.87105,0.98435,0.98191,0.99048,0.91007,0.98435,0.98191,0.9899,0.75489,0.51641,0.67299,0.30569,0.82719,0.000429253,0.000429253,0.000429253
77,3351.78,0.43273,0.49421,0.29117,0.8718,0.98737,0.98076,0.99055,0.91741,0.98752,0.97985,0.98989,0.78794,0.51599,0.66973,0.31045,0.82523,0.000412749,0.000412749,0.000412749
78,3409.03,0.42431,0.50416,0.29043,0.86307,0.98584,0.98026,0.99008,0.90525,0.98788,0.97697,0.98821,0.77672,0.52627,0.70116,0.31421,0.83041,0.000396246,0.000396246,0.000396246
79,3456.71,0.42617,0.52319,0.29188,0.85924,0.98378,0.98355,0.9906,0.92048,0.98378,0.98355,0.98814,0.7763,0.51793,0.68781,0.31972,0.82633,0.000379743,0.000379743,0.000379743
